0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:45:23 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 500 2956
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:45:51 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 500 2956
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:45:54 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 500 2526
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:47:10 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:47:22 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 200 21180
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:47:36 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 200 21180
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:47:44 +0700] "GET /GimAndFit/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:53 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 200 21195
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:53 +0700] "GET /GimAndFit/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:53 +0700] "GET /GimAndFit/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:53 +0700] "GET /GimAndFit/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:53 +0700] "GET /GimAndFit/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:53 +0700] "GET /GimAndFit/fonts/ionicons/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:53 +0700] "GET /GimAndFit/fonts/fontawesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:53 +0700] "GET /GimAndFit/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/img/img_1_square.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/img/img_2_square.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/img/img_3_square.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/img/img_4_square.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/img/person_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/img/person_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/img/person_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/fonts/fontawesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/js/magnific-popup-options.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:54 +0700] "GET /GimAndFit/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:55 +0700] "GET /GimAndFit/img/slider-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:12:49:55 +0700] "GET /GimAndFit/img/slider-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:11:54 +0700] "GET /GimAndFit/index.html HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:11:54 +0700] "GET /GimAndFit/index.html HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:12:11 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 200 21272
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:12:58 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 200 21263
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:17 +0700] "GET /GimAndFit/index.jsp HTTP/1.1" 200 21286
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21020
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/img/img_1_square.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/jquery-3.2.1.min.js HTTP/1.1" 404 1152
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/popper.min.js HTTP/1.1" 404 1146
